site,DT_join,type
archery,"""2022-05-21 15:30:00",improper level cal
archery,"""2022-05-24 15:45:00",improper level cal fix
archery,"""2023-04-20 15:15:00",sonde moved
archery,"""2023-05-22 09:15:00",sonde moved
boxelder,"""2023-06-28 09:15:00",sonde moved
boxelder,"""2023-06-29 10:45:00",sonde moved
boxelder,"""2023-07-17 10:30:00",sonde moved
legacy,"""2022-04-06 17:45:00",improper level cal
legacy,"""2022-04-12 09:15:00",improper level cal fix
legacy,"""2022-07-08 15:15:00",improper level cal
legacy,"""2022-07-12 11:45:00",improper level cal fix
legacy,"""2022-07-22 11:30:00",improper level cal
legacy,"""2022-07-25 14:15:00",improper level cal fix
legacy,"""2022-08-29 12:30:00",sonde moved
legacy,"""2023-08-24 10:00:00",sonde moved
prospect,"""2022-08-12 11:00:00",sonde moved
prospect,"""2022-09-21 13:30:00",sonde moved
prospect,"""2022-09-23 15:00:00",sonde moved
tamasag,"""2022-04-22 16:45:00",improper level cal
tamasag,"""2022-04-24 07:30:00",improper level cal fix
tamasag,"""2022-04-29 16:15:00",sonde moved
tamasag,"""2023-05-24 12:00:00",sonde moved
tamasag,"""2023-06-08 12:30:00",sonde moved
tamasag,"""2023-06-26 08:30:00",sonde moved
timberline,"""2022-04-06 11:00:00",improper level cal
timberline,"""2022-04-07 17:15:00",improper level cal fix
timberline,"""2022-07-21 10:45:00",sonde moved
timberline,"""2022-07-22 13:00:00",sonde moved
timberline,"""2022-08-02 12:45:00",sonde moved
timberline,"""2022-09-14 14:30:00",sonde moved
timberline,"""2022-10-26 17:15:00",sonde moved
timberline,"""2022-11-08 10:30:00",sonde moved
timberline,"""2023-06-14 11:45:00",sonde moved
timberline,"""2023-06-27 09:15:00",sonde moved
timberline,"""2023-07-18 16:15:00",sonde moved
timberline,"""2023-10-31 15:15:00",sonde moved
timberline,"""2023-11-02 15:45:00",sonde moved
river bluffs,"""2023-05-08 17:45:00",sonde moved
river bluffs,"""2023-05-10 16:30:00",sonde moved
river bluffs,"""2023-05-16 12:45:00",sonde moved
river bluffs,"""2023-05-19 12:00:00",sonde moved
river bluffs,"""2023-05-22 16:30:00",sonde moved
river bluffs,"""2023-06:27 13:45:00",sonde moved
river bluffs,"""2023-06:29 11:15:00",sonde moved
river bluffs,"""2023-07-17 14:00:00",sonde moved
river bluffs,"""2023-07-18 10:45:00",sonde moved